files;accuracy;mean(f1);mean(prec);mean(recall)
000005554872;0.967391304347826;0.7891986062717771;0.7777777777777778;0.9408888888888889
000005410000;0.9214285714285714;0.36592592592592593;0.35131467345207806;0.4397972116603295
000005486497;0.9376947040498442;0.26340933767643865;0.2560019302690313;0.2745204487875498
000005547851;0.9128205128205128;0.7314977734332574;0.6666666666666666;0.8783364369956549
000005552150;0.9018691588785047;0.2165532879818594;0.19385026737967914;0.26747967479674795
000005576106;0.8877551020408163;0.35321558983530815;0.32090729783037475;0.43309438470728795
000005571066;0.893491124260355;0.5948095983307251;0.5520808655137013;0.7651851851851852
000005478525;0.8807339449541285;0.4291412291412291;0.3842350203606748;0.5466219988833054
000005568955;0.9383259911894273;0.6530686986827338;0.6058201058201058;0.7705761316872428
000005491449;0.9151515151515152;0.10649627263045794;0.10964912280701754;0.10351966873706003
000005554486;0.9633136094674556;0.690064367341319;0.6286477638936655;0.846075246988767
000005566753;0.8625954198473282;0.2988505747126437;0.3472043472043472;0.3593510866238139
000005560228;0.9452631578947368;0.45977434388030414;0.4478961955152432;0.6051373954599761
000005567992;0.8828125;0.27560880119019654;0.2651434742938011;0.324435318275154
000005567776;0.8982456140350877;0.42366964665815243;0.37742504409171074;0.5460905349794238
000005548010;0.9003645200486027;0.13705443492677535;0.12902821630832456;0.21168582375478928
000005564159;0.8625954198473282;0.1037344398340249;0.11061946902654868;0.09765625
000005592234;0.9625668449197861;0.7568951930654058;0.7037037037037037;0.8842592592592593
000005550098;0.8394160583941606;0.34274438372799026;0.3079520697167756;0.4841269841269842
000005571009;0.8436018957345972;0.10189982728842832;0.10805860805860806;0.09640522875816994
000005568207;0.8571428571428571;0.23367260390161151;0.19963156874151639;0.3234323432343234
000005576281;0.8838028169014085;0.2606606606606607;0.25448495370370366;0.270568278201866
000005548430;0.9443207126948775;0.41651935210336455;0.39153690507609745;0.5131912734652461
000005576224;0.9512195121951219;0.6968919968919969;0.6836091410559495;0.7176245210727968
000005559119;0.9347826086956522;0.6210658515201062;0.5680793441663007;0.8081813156440022
