files;accuracy;mean(f1);mean(prec);mean(recall)
000005554872;0.9704968944099379;0.7950632230293246;0.75;0.9949655537890832
000005410000;0.925;0.5492184199408534;0.5269961977186312;0.6603295310519645
000005486497;0.940809968847352;0.39539295392953927;0.384018759018759;0.41232356134636267
000005547851;0.9333333333333333;0.8216399118665407;0.75;0.9881602914389799
000005552150;0.9205607476635514;0.21519161841742487;0.20662393162393164;0.23798076923076925
000005576106;0.9081632653061225;0.5313492063492063;0.48140655105973024;0.6524064171122995
000005571066;0.9112426035502958;0.7276365348399247;0.6626984126984127;0.9838709677419355
000005478525;0.926605504587156;0.5362564827911362;0.49581239530988275;0.6577235772357723
000005568955;0.9515418502202643;0.7031138867204442;0.6587301587301587;0.8249619482496194
000005491449;0.9272727272727272;0.16084656084656085;0.1645021645021645;0.15734989648033126
000005554486;0.9644970414201184;0.5907792972751486;0.5263068181818182;0.7693571140669085
000005566753;0.9007633587786259;0.45200421940928265;0.522360248447205;0.5446265938069217
000005560228;0.9494736842105264;0.41228070175438597;0.33888888888888885;0.6581196581196581
000005567992;0.892578125;0.4136707388016288;0.3967129705887736;0.48804644808743164
000005567776;0.9403508771929825;0.5728026533996683;0.5252525252525252;0.6593137254901961
000005548010;0.9125151883353585;0.20670510356609015;0.19377599524658348;0.3193931939319393
000005564159;0.8816793893129771;0.1564625850340136;0.16452074391988555;0.14915693904020752
000005592234;0.9732620320855615;0.8031117627891823;0.7222222222222222;0.9951830443159922
000005550098;0.8661800486618005;0.34931760866340306;0.29579772079772076;0.5623953098827471
000005571009;0.8625592417061612;0.15430520034100598;0.16306306306306306;0.1464401294498382
000005568207;0.8755760368663594;0.26666666666666666;0.24404761904761907;0.31738437001594894
000005576281;0.9295774647887324;0.3941030415890751;0.3851153039832285;0.40870098039215685
000005548430;0.9510022271714922;0.45871913580246915;0.42143420015760436;0.6035525321239606
000005576224;0.9634146341463414;0.8799776286353467;0.8599773242630385;0.9111479028697572
000005559119;0.947463768115942;0.6546779006494646;0.6021305285868394;0.8805555555555555
000005548027;0.9487179487179487;0.46206896551724136;0.4444444444444444;0.4910514541387025
000005506517;0.950381679389313;0.5623419827012641;0.539642375168691;0.6601049868766404
000005568211;0.8709677419354839;0.23840579710144927;0.21621621621621623;0.3165266106442577
000005549872;0.9272727272727272;0.45216049382716045;0.41269841269841273;0.6547619047619048
000005591455;0.943342776203966;0.4235963041933191;0.39999999999999997;0.4903381642512077
000005582883;0.9457627118644067;0.21784393850943765;0.22044286279161726;0.2153256704980843
000005564502;0.9360730593607306;0.43646364636463647;0.4602650874224478;0.5744766505636071
000005553393;0.9195979899497487;0.5595365418894831;0.5416666666666666;0.652991452991453
000005592168;0.9420289855072463;0.7946236559139784;0.7737127371273713;0.8266666666666667
000005564612;0.9569377990430622;0.4961636828644502;0.5;0.4925
000005563316;0.9757575757575757;0.6089324618736384;0.5833333333333334;0.6623655913978495
000005561115;0.8352941176470589;0.15158045977011494;0.15984848484848485;0.14412568306010928
000005504626;0.9803439803439803;0.6094276094276094;0.5833333333333334;0.6633333333333333
000005571095;0.9103139013452914;0.6030204962243797;0.664983164983165;0.5693146417445483
000005552916;0.9344978165938864;0.536189358372457;0.5122863247863247;0.6158256880733944
000005544067;0.9269102990033222;0.5345612371095675;0.42083333333333334;0.9875916525662718
000005559613;0.9551282051282052;0.4961580680570801;0.5;0.49248927038626605
000005565388;0.8763636363636363;0.412340799297321;0.43273809523809526;0.44364623243933593
000005507152;0.9285714285714286;0.21620245582509734;0.2063075506445672;0.24017543859649124
000005566927;0.9005524861878453;0.6205387205387205;0.5455093429776974;0.8178294573643411
000005557461;0.9039301310043668;0.5472420163631565;0.5816831683168316;0.5688736681887366
000005561095;0.9233870967741935;0.2714486638537272;0.24855072463768116;0.3224043715846994
000005559588;0.9614035087719298;0.8061097809701162;0.7916666666666666;0.8266423357664233
000005547049;0.9442896935933147;0.5617502458210423;0.4583333333333333;0.8237822349570201
000005549828;0.9369747899159664;0.7017190251135205;0.7000000000000001;0.7951851851851851
000005566403;0.9705882352941176;0.8973424449506453;0.875;0.9947683109118087
000005546542;0.9516129032258065;0.7954128440366972;0.7777777777777777;0.8244047619047619
000005575173;0.925764192139738;0.27117327117327117;0.2483974358974359;0.3220211161387632
000005572947;0.9699248120300752;0.41893704850361196;0.3764367816091954;0.4948186528497409
000005575762;0.9701492537313433;0.16404199475065614;0.16666666666666666;0.16149870801033592
000005484899;0.8869047619047619;0.24088960342979635;0.3289183222958057;0.20868055555555554
000005547688;0.9416666666666667;0.7512594101998076;0.7429395535490344;0.7640879638719812
000005548463;0.9554753309265944;0.7071907890089708;0.6547619047619048;0.8256728778467909
000005574735;0.9234449760765551;0.3348290598290598;0.30158730158730157;0.48686371100164205
000005463939;0.9235668789808917;0.6874021909233177;0.6376723438767234;0.8208616780045351
000005549644;0.937037037037037;0.5027668631303208;0.47087813620071683;0.5737547892720306
000005548407;0.8894736842105263;0.4349206349206349;0.41566265060240964;0.4827898550724638
000005543086;0.9787735849056604;0.6648261758691206;0.6666666666666666;0.6630258899676376
000005504594;0.9647302904564315;0.6080677885189163;0.5833333333333334;0.6606891701828411
